,Char,Genre,Title,line_count,gender
462,OLIVER,Comedy,thisis40,158,
463,CHARLOTTE,Comedy,thisis40,128,
464,DEBBIE,Comedy,thisis40,1259,
465,PETE,Comedy,thisis40,1193,
466,ANGUS,Comedy,allaboutsteve,32,
467,STEVE,Comedy,allaboutsteve,99,
468,HARTMAN,Comedy,allaboutsteve,100,
469,HOWARD,Comedy,allaboutsteve,33,
470,MARY,Comedy,allaboutsteve,275,
472,TIKVA,Comedy,hebrewhammerthe,21,
473,SANTA CLAUS,Comedy,hebrewhammerthe,59,
474,SHLOMO,Comedy,hebrewhammerthe,24,
475,TONY,Comedy,hebrewhammerthe,47,
476,CHIEF,Comedy,hebrewhammerthe,156,
477,TINY TIM,Comedy,hebrewhammerthe,61,
478,MOHAMMED,Comedy,hebrewhammerthe,102,
479,SANTA,Comedy,hebrewhammerthe,248,
480,ESTHER,Comedy,hebrewhammerthe,181,
481,MRS. CARVER,Comedy,hebrewhammerthe,153,
482,HAMMER,Comedy,hebrewhammerthe,701,
483,JAMAL,Comedy,hebrewhammerthe,49,
484,CHARLIE,Comedy,dotherightthing,34,
485,ELLA,Comedy,dotherightthing,29,
486,THE OLD GUY,Comedy,fourrooms,61,
487,RAVEN,Comedy,fourrooms,48,
488,EVA,Comedy,fourrooms,137,
489,JEZEBEL,Comedy,fourrooms,62,
490,KIVA,Comedy,fourrooms,76,
491,ELSPETH,Comedy,fourrooms,107,
492,ATHENA,Comedy,fourrooms,164,
493,YUPPIE SCUM,Comedy,fourrooms,30,
494,"TEDDY, NOT THEODORE... TED... Yes,",Comedy,fourrooms,25,
495,LESLIE,Comedy,bridesmaids,34,
496,BECCA,Comedy,bridesmaids,39,
497,DANA,Comedy,bridesmaids,42,
498,HELEN,Comedy,bridesmaids,127,
499,STEVE,Comedy,bridesmaids,29,
501,LILLIAN,Comedy,bridesmaids,133,
502,ANNIE,Comedy,bridesmaids,489,
503,RHODES,Comedy,bridesmaids,69,
504,SUPER,Comedy,producerthe,21,
505,CARMEN,Comedy,producerthe,53,
506,LITTLE OLD LADY,Comedy,producerthe,100,
507,LSD,Comedy,producerthe,66,
508,DE BRIS,Comedy,producerthe,165,
510,ULLA,Comedy,producerthe,38,
511,DRUNK,Comedy,producerthe,44,
512,LIEBKIND,Comedy,producerthe,392,
513,JUDGE,Comedy,producerthe,25,
514,BLOOM,Comedy,producerthe,583,
515,BIALYSTOCK,Comedy,producerthe,1082,
516,LEVY,Comedy,wagthedog,26,
517,GRACE,Comedy,wagthedog,23,
518,TRUDY,Comedy,wagthedog,28,
519,MR. YOUNG,Comedy,wagthedog,49,
520,JOHNNY GREEN,Comedy,wagthedog,21,
521,CAIN,Comedy,wagthedog,22,
522,LIZ,Comedy,wagthedog,42,
523,FAD KING,Comedy,wagthedog,65,
524,(ON PHONE),Comedy,wagthedog,21,
525,(INTO PHONE),Comedy,wagthedog,34,
526,(SHRUGS),Comedy,wagthedog,28,
527,(ON THE PHONE),Comedy,wagthedog,34,
528,(TO M,Comedy,wagthedog,25,
529,(TO PHONE),Comedy,wagthedog,37,
530,NOLE,Comedy,wagthedog,44,
531,(CONT.),Comedy,wagthedog,47,
