SHORT SCIENTIST,Action,losersthe,62
COUGAR,Action,losersthe,25
WADE,Action,losersthe,131
ROQUE,Action,losersthe,360
JENSEN,Action,losersthe,389
POOCH,Action,losersthe,252
AISHA,Action,losersthe,238
CLAY,Action,losersthe,582
MAX,Action,losersthe,239
WOMAN'S VOICE,Action,legion,26
BURTON,Action,legion,26
ESTEVEZ,Action,legion,22
GLADYS,Action,legion,42
PERCY,Action,legion,127
HOWARD,Action,legion,47
KYLE,Action,legion,211
SANDRA,Action,legion,107
MICHAEL,Action,legion,210
BOB,Action,legion,298
AUDREY,Action,legion,119
GABRIEL,Action,legion,33
CHARLIE,Action,legion,285
JEEP,Action,legion,238
(BEAT),Action,legion,81
EARL,Action,metro,34
BAFFERT,Action,metro,118
KIMURA,Action,metro,38
RAYMOND,Action,metro,43
CLARENCE,Action,metro,33
SOLIS,Action,metro,138
DAVE,Action,metro,40
JAIL GUARD #2,Action,metro,21
MCCALL,Action,metro,396
KORDA,Action,metro,335
RONNIE,Action,metro,212
ROPER,Action,metro,1216
NARRATION (cont.),Action,tombstone,22
DAKE,Action,tombstone,24
TYLER,Action,tombstone,23
FABIAN,Action,tombstone,44
HIGH ROLLER,Action,tombstone,23
WHITE,Action,tombstone,95
OLD MAN CLANTON,Action,tombstone,31
KATE,Action,tombstone,35
JOYCE,Action,tombstone,30
MATTIE,Action,tombstone,76
VIRGIL,Action,tombstone,138
ALLIE,Action,tombstone,28
DR. GOODFELLOW,Action,tombstone,24
MORGAN,Action,tombstone,135
WAGONMASTER,Action,tombstone,29
LUCINDA'S SON,Action,tombstone,21
CURLY BILL,Action,tombstone,206
BILLY,Action,tombstone,21
GROUNDS,Action,tombstone,21
BREAKENRIDGE,Action,tombstone,35
MCMASTERS,Action,tombstone,99
HOOKER,Action,tombstone,47
RINGO,Action,tombstone,152
VERMILLION,Action,tombstone,86
JOHNSON,Action,tombstone,67
BEHAN,Action,tombstone,151
IKE,Action,tombstone,71
DOC,Action,tombstone,394
JOSEPHINE,Action,tombstone,171
WYATT,Action,tombstone,940
NARRATION,Action,tombstone,174
LANDLADY,Action,bountyhunterthe,31
LORRAINE,Action,bountyhunterthe,41
STEWART,Action,bountyhunterthe,63
DAWN,Action,bountyhunterthe,30
MOM,Action,bountyhunterthe,31
TERESA,Action,bountyhunterthe,30
JIMMY,Action,bountyhunterthe,49
RAY,Action,bountyhunterthe,28
DWIGHT,Action,bountyhunterthe,40
BOBBY,Action,bountyhunterthe,105
(QUICKLY),Action,bountyhunterthe,23
LOIS,Action,bountyhunterthe,39
SID,Action,bountyhunterthe,152
CASS,Action,bountyhunterthe,762
MILO,Action,bountyhunterthe,1088
CIA MAN,Action,darkknightrisesthe,36
MAID,Action,darkknightrisesthe,28
CONGRESSMAN,Action,darkknightrisesthe,29
DAGGETT,Action,darkknightrisesthe,88
MAYOR,Action,darkknightrisesthe,34
JEN,Action,darkknightrisesthe,22
CAPTAIN JONES,Action,darkknightrisesthe,41
PRISONER,Action,darkknightrisesthe,101
STRYVER,Action,darkknightrisesthe,46
SELINA,Action,darkknightrisesthe,176
CRANE,Action,darkknightrisesthe,29
WAYNE,Action,darkknightrisesthe,508
FOLEY,Action,darkknightrisesthe,112
MIRANDA,Action,darkknightrisesthe,150
A U,Action,darkknightrisesthe,47
BANE,Action,darkknightrisesthe,364
UNIFORM,Action,darkknightrisesthe,28
(OVER RADIO),Action,darkknightrisesthe,29
TALIA,Action,darkknightrisesthe,64
CATWOMAN,Action,darkknightrisesthe,111
BATMAN,Action,darkknightrisesthe,143
FATHER REILLY,Action,darkknightrisesthe,30
GORDON,Action,darkknightrisesthe,300
BLAKE,Action,darkknightrisesthe,417
LAWYER,Action,darkknightrisesthe,29
FOX,Action,darkknightrisesthe,205
ALFRED,Action,darkknightrisesthe,285
HEAD,Action,startreknemesis,31
JANEWAY (ON VIEWSCREEN),Action,startreknemesis,31
SURAN,Action,startreknemesis,36
BEVERLY,Action,startreknemesis,116
VICEROY,Action,startreknemesis,75
SHINZON,Action,startreknemesis,597
DATA,Action,startreknemesis,449
DEANNA,Action,startreknemesis,125
DONATRA,Action,startreknemesis,35
GEORDI,Action,startreknemesis,175
RIKER,Action,startreknemesis,181
WORF,Action,startreknemesis,117
PICARD,Action,startreknemesis,940
RACHEL,Action,hanna,36
SOPHIE,Action,hanna,70
SEB,Action,hanna,23
ERIK,Action,hanna,69
ISAACS,Action,hanna,26
HANNA,Action,hanna,176
MARISSA,Action,hanna,103
WE CAN HANDLE THEM!,Action,dawnofthedead,23
THIS THING...,Action,dawnofthedead,38
WE GOT A LOT TO DO...ROGER...,Action,dawnofthedead,25
"ALRIGHT, NOW ARE YOU STRAIGHT?",Action,dawnofthedead,24
CLOSE THE GATE...CLOSE THE GATE...,Action,dawnofthedead,28
FOR US...,Action,dawnofthedead,24
UP THE STAIRS.,Action,dawnofthedead,44
BRARD,Action,alien,269
MELKONIS,Action,alien,280
FAUST,Action,alien,215
HUNTER,Action,alien,335
STANDARD,Action,alien,967
COMPUTER,Action,alien,63
ROBY,Action,alien,620
CAPTAIN TYPHO,Action,starwarsattackoftheclones,22
DEXTER JETTSTER,Action,starwarsattackoftheclones,43
SIO BIBBLE,Action,starwarsattackoftheclones,25
QUEEN JAMILLIA,Action,starwarsattackoftheclones,39
JOCASTA NU,Action,starwarsattackoftheclones,81
SOLA,Action,starwarsattackoftheclones,26
JOBAL,Action,starwarsattackoftheclones,22
RUWEE,Action,starwarsattackoftheclones,26
TAUN WE,Action,starwarsattackoftheclones,42
JANGO,Action,starwarsattackoftheclones,23
WATTO,Action,starwarsattackoftheclones,45
LAMA SU,Action,starwarsattackoftheclones,89
CLIEGG,Action,starwarsattackoftheclones,35
BAIL ORGANA,Action,starwarsattackoftheclones,24
OWEN,Action,starwarsattackoftheclones,28
JAR JAR,Action,starwarsattackoftheclones,82
PALPATINE,Action,starwarsattackoftheclones,131
MAS AMEDDA,Action,starwarsattackoftheclones,24
JANGO FETT,Action,starwarsattackoftheclones,23
DOOKU,Action,starwarsattackoftheclones,64
ANAKIN,Action,starwarsattackoftheclones,643
PADME,Action,starwarsattackoftheclones,692
COUNT DOOKU,Action,starwarsattackoftheclones,110
MACE WINDU,Action,starwarsattackoftheclones,99
OBI-WAN,Action,starwarsattackoftheclones,503
YODA,Action,starwarsattackoftheclones,112
LUCAS LEE,Action,scottpilgrimvstheworld,24
TODD INGRAM,Action,scottpilgrimvstheworld,30
JULIE,Action,scottpilgrimvstheworld,29
ENVY,Action,scottpilgrimvstheworld,28
STACEY,Action,scottpilgrimvstheworld,24
WALLACE,Action,scottpilgrimvstheworld,108
GIDEON GRAVES,Action,scottpilgrimvstheworld,22
STEPHEN STILLS,Action,scottpilgrimvstheworld,73
KIM PINE,Action,scottpilgrimvstheworld,43
YOUNG NEIL,Action,scottpilgrimvstheworld,31
KNIVES CHAU,Action,scottpilgrimvstheworld,85
(CONTINUED),Action,scottpilgrimvstheworld,157
RAMONA,Action,scottpilgrimvstheworld,218
SCOTT,Action,scottpilgrimvstheworld,566
HOST,Action,strangedays,25
KEITH,Action,strangedays,29
IRIS,Action,strangedays,25
TICK,Action,strangedays,78
JERIKO,Action,strangedays,37
TRAN,Action,strangedays,112
FAITH,Action,strangedays,204
MAX,Action,strangedays,399
STRICKLAND,Action,strangedays,27
SPREG,Action,strangedays,32
LENNY,Action,strangedays,1187
MACE,Action,strangedays,515
JOHN BRIDGER,Action,italianjobthe,78
RICHARD,Action,italianjobthe,36
YEVHEN,Action,italianjobthe,66
SKINNY PETE,Action,italianjobthe,21
PHILLY STEAK,Action,italianjobthe,28
HANDSOME ROB,Action,italianjobthe,164
STEVE,Action,italianjobthe,186
HALF-EAR,Action,italianjobthe,124
MASHKOV,Action,italianjobthe,69
LYLE,Action,italianjobthe,226
CHARLIE,Action,italianjobthe,527
STELLA,Action,italianjobthe,264
SIR AUGUST,Action,avengersthe,40
BAILEY,Action,avengersthe,28
OLD LADY,Action,avengersthe,30
VOICE,Action,avengersthe,124
DR. DARLING,Action,avengersthe,74
PETER,Action,avengersthe,50
INVISIBLE JONES,Action,avengersthe,66
FATHER,Action,avengersthe,97
VALENTINE,Action,avengersthe,257
MOTHER,Action,avengersthe,251
EMMA,Action,avengersthe,710
STEED,Action,avengersthe,774
JAVAL,Action,rushhour,66
JAVAL (VO),Action,rushhour,38
SECRETARY OF STATE,Action,rushhour,44
SECRETARY OF DEFENSE,Action,rushhour,33
PRESIDENT,Action,rushhour,110
INTELLIGENCE OFFICER,Action,rushhour,45
CIA CHIEF,Action,rushhour,49
WALTHER,Action,rushhour,106
SABATINI,Action,rushhour,69
ROBBINS,Action,rushhour,44
BOBBI,Action,rushhour,88
AMBASSADOR HAN,Action,rushhour,66
COLONEL LEE,Action,rushhour,41
CARSON (VO),Action,rushhour,55
DAVE,Action,rushhour,146
MRS. HAN,Action,rushhour,32
MIRANDA (VO),Action,rushhour,35
CARSON,Action,rushhour,687
MIRANDA,Action,rushhour,304
SKY,Action,xxx,47
TRUCKER,Action,xxx,22
JEFE,Action,xxx,47
T.J.,Action,xxx,21
VIRG,Action,xxx,23
KID,Action,xxx,23
SAM TANNICK,Action,xxx,45
SHAVERS,Action,xxx,75
SLOVO,Action,xxx,73
KIRILL,Action,xxx,26
YORGI,Action,xxx,292
GIBBONS,Action,xxx,276
PETRA,Action,xxx,273
XANDER,Action,xxx,989
GENETIC DOCTOR,Action,perfectcreature,58
SLUM LANDLORD,Action,perfectcreature,23
MAN IN THE STREET,Action,perfectcreature,21
KID,Action,perfectcreature,30
ANDERSON,Action,perfectcreature,48
FRANK,Action,perfectcreature,77
CLE OPERATOR 2,Action,perfectcreature,24
TV PRESENTER,Action,perfectcreature,48
CLE OPERATOR,Action,perfectcreature,37
PROFESSOR LIEPSKY,Action,perfectcreature,75
STEPH,Action,perfectcreature,37
"A POV, wavering slightly, the hint of a whispering breath. We",Action,perfectcreature,59
FREDDY,Action,perfectcreature,65
NURSE,Action,perfectcreature,32
DOMINIC,Action,perfectcreature,64
AUGUSTUS,Action,perfectcreature,222
JONES,Action,perfectcreature,406
EDGAR,Action,perfectcreature,419
DISSOLVE TO:,Action,perfectcreature,122
SILUS,Action,perfectcreature,484
PRIEST 2,Action,perfectcreature,41
FADE OUT:,Action,perfectcreature,33
LILLY,Action,perfectcreature,578
SECRET SERVICE AGENT,Action,airforceone,25
COL. AXELROD,Action,airforceone,26
DOHERTY,Action,airforceone,29
