char,genre,title,line_count,pkey
OBLY,Drama,annakarenina,163,obly-annakarenina
POOCH,Mystery,losersthe,252,pooch-losersthe
DIETRICH,Crime,faceoff,60,dietrich-faceoff
MRS. WHEATLEY,Horror,shivers,39,mrs._wheatley-shivers
MOTHER,Comedy,mysterymen,36,mother-mysterymen
MARIE,Romance,frankenstein,27,marie-frankenstein
CUT.,Drama,chronicle,72,cut.-chronicle
(BEAT),Drama,marthamarcymaymarlene,77,(beat)-marthamarcymaymarlene
SOLDIER,Drama,robinhoodprinceofthieves,22,soldier-robinhoodprinceofthieves
MISS PETERS,Drama,pleasantville,24,miss_peters-pleasantville
CLARISSA,Comedy,haroldandkumargotowhitecastle,23,clarissa-haroldandkumargotowhitecastle
SAWSAN,Drama,fairgame,100,sawsan-fairgame
PORTER,Crime,aliennation,27,porter-aliennation
DOLLY,Drama,suspectzero,40,dolly-suspectzero
VOICE,Action,stuntmanthe,67,voice-stuntmanthe
JOEY,Crime,sisteract,118,joey-sisteract
DIETER,Action,jurassicparkthelostworld,27,dieter-jurassicparkthelostworld
BETH,Adventure,detroitrockcity,90,beth-detroitrockcity
METATRON,Adventure,dogma,69,metatron-dogma
OFFICER,Drama,minorityreport,23,officer-minorityreport
GEORGIA,Crime,confessionsofadangerousmind,30,georgia-confessionsofadangerousmind
SANDY,Comedy,beavisandbuttheaddoamerica,21,sandy-beavisandbuttheaddoamerica
TOULOUR,Comedy,oceanstwelve,228,toulour-oceanstwelve
SECRET SERVICE MAN,Drama,taxidriver,24,secret_service_man-taxidriver
WHITE,Action,tombstone,95,white-tombstone
TRAVERS,Adventure,cliffhanger,362,travers-cliffhanger
DON CORLEONE,Drama,godfatherpartii,34,don_corleone-godfatherpartii
DOC,Action,getawaythe,692,doc-getawaythe
BOB ANDERS,Drama,argo,27,bob_anders-argo
LIBBY,Drama,fairgame,108,libby-fairgame
POPPA M,Thriller,boondocksaints2allsaintsday,161,poppa_m-boondocksaints2allsaintsday
PICARD,Crime,confessionsofadangerousmind,35,picard-confessionsofadangerousmind
DIRECTOR,Action,pacifierthe,21,director-pacifierthe
DAN,Adventure,heavymetal,160,dan-heavymetal
UNTITLED,Drama,almostfamous,30,untitled-almostfamous
MILLER,Action,lastboyscoutthe,31,miller-lastboyscoutthe
SYLVIA,Thriller,dogdayafternoon,152,sylvia-dogdayafternoon
REGGIE,Thriller,charade,1475,reggie-charade
MARIE,Crime,frenchconnectionthe,49,marie-frenchconnectionthe
ESTELLE,Drama,youthinrevolt,212,estelle-youthinrevolt
BORELLI,Crime,casino,50,borelli-casino
MRS. MULWRAY,Thriller,chinatown,29,mrs._mulwray-chinatown
MINISTER,Drama,ghost,24,minister-ghost
KATHERINE,Thriller,prophecythe,574,katherine-prophecythe
HENRY,Horror,armyofdarkness,51,henry-armyofdarkness
THE HWIFE,Drama,killbillvolume12,27,the_hwife-killbillvolume12
SENATOR MALCOLM,Crime,minorityreport,67,senator_malcolm-minorityreport
DUFFY,Action,boondocksaints2allsaintsday,116,duffy-boondocksaints2allsaintsday
DR. EHRLICH,Biography,pianistthe,22,dr._ehrlich-pianistthe
JAVIER,Comedy,hesjustnotthatintoyou,24,javier-hesjustnotthatintoyou
APRIL,Romance,revolutionaryroad,690,april-revolutionaryroad
SPEYER,Sci-Fi,residentevil,46,speyer-residentevil
CIA memo on Oswald's activities in,Thriller,jfk,30,cia_memo_on_oswald's_activities_in-jfk
IKE,Drama,tombstone,71,ike-tombstone
GIRL,Action,fifthelementthe,34,girl-fifthelementthe
CONTINUED:,Comedy,beginners,85,continued:-beginners
JENSEN,Adventure,losersthe,389,jensen-losersthe
GLASS,Thriller,ticker,363,glass-ticker
BUDLY,Comedy,pineappleexpress,56,budly-pineappleexpress
HELEN,Romance,crash,122,helen-crash
YUPPIE SCUM,Drama,fourrooms,30,yuppie_scum-fourrooms
GISBORNE,Adventure,robinhoodprinceofthieves,125,gisborne-robinhoodprinceofthieves
MONICA,Drama,aptpupil,68,monica-aptpupil
(CONTINUED),Horror,jennifersbody,208,(continued)-jennifersbody
PETER,Family,threemenandababy,1623,peter-threemenandababy
ELAINE,Action,48hrs,227,elaine-48hrs
SILENT BOB,Adventure,jayandsilentbobstrikeback,22,silent_bob-jayandsilentbobstrikeback
PETIT OMAR,Drama,battleofalgiersthe,23,petit_omar-battleofalgiersthe
JEREMY,Mystery,sdarko,303,jeremy-sdarko
LIANE,Comedy,haroldandkumargotowhitecastle,44,liane-haroldandkumargotowhitecastle
MARK,Drama,observeandreport,195,mark-observeandreport
ELI'S VOICE,Thriller,stuntmanthe,27,eli's_voice-stuntmanthe
FRAN,Drama,flight,57,fran-flight
MARCUS,Sci-Fi,terminatorsalvation,389,marcus-terminatorsalvation
BRIDGET,Romance,battleofshakerheightsthe,27,bridget-battleofshakerheightsthe
WAYNE,Action,darkknightrisesthe,508,wayne-darkknightrisesthe
TANK,Action,matrixthe,192,tank-matrixthe
LISA,Thriller,antitrust,234,lisa-antitrust
BERGMAN (cont'd),Drama,heist,39,bergman_(cont'd)-heist
QUEEN,Comedy,shakespeareinlove,127,queen-shakespeareinlove
CLAIRE,Drama,whatliesbeneath,1129,claire-whatliesbeneath
HAZEL,Romance,faultinourstarsthe,1290,hazel-faultinourstarsthe
SHERMAN,Mystery,thunderheart,28,sherman-thunderheart
TICK,Mystery,strangedays,78,tick-strangedays
SARA,Action,abovethelaw,54,sara-abovethelaw
